WBS,阶段,周,任务,关键交付,依赖,Owner,优先级,验收标准,Gate
5.7,Platform/Pilot,W20-W21,Pilot复盘,Outcome/Eval Report,5.6,Eval/Domain,P0,问题闭环,G5
5.8,Platform/Pilot,W21-W22,扩100家庭,Pilot Batch2,5.7,Ops,P1,质量不下降,G6
6.1,Causal,W21-W22,Causal Ontology,Causal Spec,1.5/1.7,Data Scientist,P1,Study/Edge/Episode定义,G6
6.2,Causal,W21-W23,Research Dataset Registry,外部研究登记,6.1,Research,P1,首批重点数据源登记,G6
6.3,Causal,W22-W24,24维Research Crosswalk,Crosswalk,6.2/1.6,Research/Domain,P1,核心维度有外部变量映射,G6
6.4,Causal,W23-W25,Causal Evidence Graph V0,证据图谱,6.1/6.2,Data/AI,P1,Edge含source/evidence grade,G6
6.5,Causal,W21-W24,CausalEpisode采集,Episode Pipeline,5.6/6.1,Data Eng,P0,Context/State/Action/Outcome完整,G6
6.6,Causal,W24-W25,State Model Baseline,Baseline Model,6.5,Data Scientist,P1,基线准确性报告,G6
6.7,Causal,W25-W26,Intervention Effect Baseline,Effect analysis,6.4/6.5,Data Scientist,P1,不越权宣称因果,G6
6.8,Causal,W26,180天总验收,V1 Release Review,全部,Steering,P0,六大目标完成,G6
6.9,Causal,W26,World Model V2 Roadmap,下一阶段路线,6.4-6.7,AI Architect,P1,WM4→WM5条件明确,G6
